trip_id,pattern_id,pattern_name
13657339,285823,E2
13657341,285823,E2
13657343,285823,E2
13657345,285823,E2
13657347,285823,E2
13657349,285823,E2
13657351,285823,E2
13657353,285823,E2
13657355,285823,E2
13657357,285823,E2
13657359,285823,E2
13657361,285823,E2
13657363,285823,E2
13657366,285823,E2
13657368,285823,E2
13657371,285823,E2
13657374,285823,E2
13657378,285823,E2
13657380,285823,E2
13657383,285823,E2
13657387,285823,E2
13657389,285823,E2
13657392,285823,E2
13657395,285823,E2
13657543,285823,E2
13657545,285823,E2
13657547,285823,E2
13657549,285823,E2
13657551,285823,E2
13657553,285823,E2
13657555,285823,E2
13657558,285823,E2
13657560,285823,E2
13657562,285823,E2
13657564,285823,E2
13657566,285823,E2
13657569,285823,E2
13657599,285823,E2
13657601,285823,E2
13657739,285823,E2
13657741,285823,E2
13657743,285823,E2
13657745,285823,E2
13657747,285823,E2
13657749,285823,E2
13657751,285823,E2
13657753,285823,E2
13657756,285823,E2
13657758,285823,E2
13657793,285823,E2
13719381,285823,E2
13719382,285823,E2
13719383,285823,E2
13719384,285823,E2
13719385,285823,E2
13719386,285823,E2
13719387,285823,E2
13719388,285823,E2
13719389,285823,E2
13719390,285823,E2
13719391,285823,E2
13719392,285823,E2
13720770,285823,E2
13720771,285823,E2
13720772,285823,E2
13720773,285823,E2
13720774,285823,E2
13720775,285823,E2
13720776,285823,E2
13720777,285823,E2
13720778,285823,E2
13720779,285823,E2
13720780,285823,E2
13720781,285823,E2
13720794,285823,E2
13720820,285823,E2
13657421,285824,W1
13657422,285824,W1
13657423,285824,W1
13657424,285824,W1
13657426,285824,W1
13657428,285824,W1
13657431,285824,W1
13657433,285824,W1
13657435,285824,W1
13657438,285824,W1
13657441,285824,W1
13657443,285824,W1
13657444,285824,W1
13657446,285824,W1
13657448,285824,W1
13657450,285824,W1
13657452,285824,W1
13657454,285824,W1
13657456,285824,W1
13657458,285824,W1
13657460,285824,W1
13657462,285824,W1
13657464,285824,W1
13657466,285824,W1
13657468,285824,W1
13657470,285824,W1
13657472,285824,W1
13657474,285824,W1
13657476,285824,W1
13657478,285824,W1
13657481,285824,W1
13657483,285824,W1
13657484,285824,W1
13657485,285824,W1
13657488,285824,W1
13657490,285824,W1
13657492,285824,W1
